bgg_id,name,year,game_type,designer,artist,publisher,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,avg_time,category,mechanic,cooperative,compilation,compilation_of,family,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id
171356,Argonauts,2015.0,Thematic,"Konstantinos Iovis, Lefteris Iroglidis (Λευτέρης Ηρωγλίδης), Ioannis Stamatis","Konstantinos Iovis, Lefteris Iroglidis (Λευτέρης Ηρωγλίδης), Ioannis Stamatis, Kostis Tolios, Giota Vorgia",AlcyonCreative,1.0,4.0,1.0,4.0,1.0,4.0,10.0,,60.0,60.0,60.0,"Adventure, Exploration, Mythology","Cooperative Game, Hand Management, Point to Point Movement, Simultaneous Action Selection, Solo / Solitaire Game, Storytelling, Turn Order: Claim Action, Variable Player Powers",1.0,,,"Country: Greece, Crowdfunding: Kickstarter, Digital Implementations: Tabletopia, Mythology: Greek",,,5095.0,370.0,7.00122,1.5554,5.71972,2.1154,,,,,,,
171364,CineCats,2015.0,,Angelo Porazzi,Angelo Porazzi,Angelo Porazzi Games,3.0,10.0,3.0,10.0,3.0,10.0,6.0,,5.0,15.0,10.0,"Children's Game, Deduction",Acting,,,,,,,,17.0,6.17647,2.00691,,1.0,,,,,,,
171367,Cake Off!,2015.0,,Haim Shafir,Markus Wagner,"AMIGO, G3",3.0,6.0,3.0,6.0,3.0,6.0,5.0,,15.0,15.0,15.0,"Card Game, Children's Game",Hand Management,,,,"Theme: Food / Cooking, Traditional Games: Spoons",,,,25.0,4.84,1.66565,,1.0,,,,,,,
171368,SOLOmino,2015.0,,"Wilfried Lepuschitz, Arno Steinwender",Markus Wagner,"AMIGO, Broadway Toys LTD, Piatnik",2.0,6.0,2.0,6.0,2.0,6.0,6.0,,20.0,20.0,20.0,Card Game,Hand Management,,,,Traditional Card Games: Eights,3347,,,23.0,4.38261,1.30506,,2.0,,,,,,,
171369,Schlafmütze,2015.0,,(Uncredited),Markus Wagner,AMIGO,2.0,8.0,2.0,8.0,2.0,8.0,6.0,,25.0,25.0,25.0,Card Game,Pattern Building,,,,,,,22765.0,40.0,4.565,1.77138,5.48019,1.0,,,,,,,
171385,Shuffle My Little Pony,2014.0,,,,"ASS Altenburger Spielkarten, Cartamundi",2.0,4.0,2.0,4.0,2.0,4.0,5.0,,20.0,20.0,20.0,"Card Game, Children's Game",Tile Placement,,,,"Movies: Frozen, Series: Shuffle Card Games (Cartamundi / Hasbro), Toys: My Little Pony",,,20692.0,38.0,5.43158,1.57932,5.49782,1.0,,,,,,,
171387,Korea: Race to Pusan,2013.0,,(Uncredited),(Uncredited),"Fastplay Wargames, TwoBuckGames",1.0,2.0,1.0,2.0,1.0,2.0,12.0,,60.0,60.0,60.0,"Korean War, Print & Play, Wargame","Dice Rolling, Hexagon Grid",,,,"Components: Map (Continental / National scale), Country: Korea",,,,3.0,7.66667,2.0548,,1.5,,,,,,,
171397,Alle Vögel sind schon da!,2015.0,,Reinhard Staupe,Oliver Freudenreich,AMIGO,1.0,4.0,1.0,4.0,1.0,4.0,4.0,,10.0,10.0,10.0,"Animals, Card Game, Children's Game","Cooperative Game, Memory",1.0,,,,,,,17.0,5.32353,1.09734,,1.0,,,,,,,
171411,Bubble Bomb,2015.0,,Henri Kermarrec,"Christine Hoffmeyer, Henri Kermarrec","AMIGO, Broadway Toys LTD",2.0,4.0,2.0,4.0,2.0,4.0,8.0,,15.0,15.0,15.0,Real-time,"Memory, Pattern Building",,,,,,,22516.0,39.0,4.66667,1.57437,5.48303,1.0,,,,,,,
171412,Moonshine Run,2017.0,,Games by a Madman or Two,,(Self-Published),2.0,4.0,2.0,4.0,2.0,4.0,12.0,,30.0,60.0,45.0,"Card Game, Racing, Transportation","Pick-up and Deliver, Push Your Luck",,,,"Admin: Upcoming Releases, Crowdfunding: Kickstarter, Digital Implementations: Tabletopia, History: Prohibition in the USA",,,,11.0,5.89091,2.40849,,1.0,,,,,,,
